CustomerID,Lookalikes
C0001,"[('C0164', 0.9461036547290986), ('C0189', 0.9212019961927622), ('C0056', 0.8825391861811839)]"
C0002,"[('C0199', 0.9922126048410694), ('C0010', 0.9784392233423558), ('C0142', 0.9752729349685342)]"
C0003,"[('C0027', 0.8593960251505658), ('C0166', 0.7203628292991985), ('C0036', 0.6470289039642599)]"
C0004,"[('C0165', 0.9895420460802031), ('C0156', 0.9846938836563774), ('C0195', 0.9841600090625802)]"
C0005,"[('C0131', 0.9972501180161066), ('C0159', 0.9963804985451794), ('C0130', 0.9953131108474632)]"
C0006,"[('C0079', 0.9999816433671646), ('C0196', 0.9916950274492897), ('C0026', 0.9543496593660685)]"
C0007,"[('C0080', 0.9942236748416815), ('C0078', 0.993001261262817), ('C0110', 0.9856174424158116)]"
C0008,"[('C0093', 0.9491673290554926), ('C0162', 0.9377723876610214), ('C0084', 0.9352068194472882)]"
C0009,"[('C0083', 0.992909662092656), ('C0097', 0.9772633162341084), ('C0077', 0.9766013726794228)]"
C0010,"[('C0002', 0.9784392233423558), ('C0142', 0.9503617602999063), ('C0199', 0.9453581461597368)]"
C0011,"[('C0170', 0.9822858217687888), ('C0114', 0.9807639821751828), ('C0064', 0.9671913841284322)]"
C0012,"[('C0065', 0.9954934155564871), ('C0099', 0.9857385121959003), ('C0101', 0.9833735330438357)]"
C0013,"[('C0105', 0.9924388129281112), ('C0099', 0.9880826624132011), ('C0141', 0.9865984502070573)]"
C0014,"[('C0058', 0.9957297878663919), ('C0128', 0.9948333917280976), ('C0151', 0.991750004853011)]"
C0015,"[('C0095', 0.9936747017012335), ('C0186', 0.988079315686734), ('C0198', 0.986746713307453)]"
C0016,"[('C0107', 0.9094690732552526), ('C0183', 0.8772167548693839), ('C0158', 0.8554428393455118)]"
C0017,"[('C0113', 0.9984532033860958), ('C0162', 0.9981238634600286), ('C0093', 0.972837703141096)]"
C0018,"[('C0148', 0.9857744891327612), ('C0149', 0.978193471778759), ('C0138', 0.9663514761272778)]"
C0019,"[('C0038', 0.890878428400554), ('C0010', 0.8493068292376531), ('C0069', 0.8403128320243626)]"
C0020,"[('C0110', 0.9987496444700448), ('C0078', 0.9962793394565665), ('C0080', 0.9953572524957549)]"
